"Path 1","Path 2","Path 3","URLs","Indexable","Non-Indexable"
"http/","","","118","105","13"
"","leoclubofeic.com/","","118","105","13"
"","","assets/","63","60","3"
"","","images/","32","32","0"
"","","History/","6","4","2"
"","","Projects/","6","4","2"
"","","galleries/","6","2","4"
"","","index.html","1","1","0"
"","","..assets/","1","0","1"
"","","service-details.html","1","0","1"
"","","blog.html","1","1","0"
"https/","","","117","104","13"
"","leoclubofeic.com/","","117","104","13"
"","","assets/","63","60","3"
"","","images/","32","32","0"
"","","Projects/","6","4","2"
"","","galleries/","6","2","4"
"","","History/","6","4","2"
"","","index.html","1","1","0"
"","","blog.html","1","1","0"
"","","service-details.html","1","0","1"
"","","..assets/","1","0","1"
